name,smiles,smiles_cleaned
EBPC,CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O,CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O
levomepromazine,"COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1, COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1",COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1
8-hydroxy-DPAT,CCCN(CCC)C1CCc2cccc(O)c2C1,CCCN(CCC)C1CCc2cccc(O)c2C1
viloxazine,CCOc1ccccc1OCC1CNCCO1,CCOc1ccccc1OCC1CNCCO1
MR-16728,O=C(NCCCN1CCCCCC1)C(C1CCCCC1)c1ccccc1,O=C(NCCCN1CCCCCC1)C(C1CCCCC1)c1ccccc1
iocetamic-acid,CC(CN(C(C)=O)c1c(I)cc(I)c(N)c1I)C(O)=O,CC(CN(C(C)=O)c1c(I)cc(I)c(N)c1I)C(O)=O
C-1,"O=S(=O)(N1CCNCC1)c1cccc2cnccc12, O=S(=O)(N1CCNCC1)c1cccc2cnccc12",O=S(=O)(N1CCNCC1)c1cccc2cnccc12
levobunolol-(+),CC(C)(C)NC[C@@H](O)COc1cccc2C(=O)CCCc12,CC(C)(C)NC[C@@H](O)COc1cccc2C(=O)CCCc12
IPAG,Ic1ccc(NC(=N)NC2C3CC4CC(C3)CC2C4)cc1,Ic1ccc(NC(=N)NC2C3CC4CC(C3)CC2C4)cc1
5-methylhydantoin-(L),C[C@@H]1NC(=O)NC1=O,C[C@@H]1NC(=O)NC1=O
MMPX,COCc1nc2n(CC(C)C)c(=O)n(C)c(=O)c2[nH]1,COCc1nc2n(CC(C)C)c(=O)n(C)c(=O)c2[nH]1
2-aminobenzenesulfonamide,Nc1ccccc1S(N)(=O)=O,Nc1ccccc1S(N)(=O)=O
NAN-190,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1
tyloxapol,"C=O.C1CO1.CC(C)(C)CC(C)(C)c1ccc(O)cc1, , , C=O.C1CO1.CC(C)(C)CC(C)(C)c1ccc(O)cc1",""
FG-7142,"CNC(=O)c1cc2c(cn1)[nH]c1ccccc21, CNC(=O)c1cc2c(cn1)[nH]c1ccccc21",CNC(=O)c1cc2c(cn1)[nH]c1ccccc21
desoxycortone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO
BP-554,"C(COc1ccc2OCOc2c1)CN1CCN(CC1)c1ccccc1, C(COc1ccc2OCOc2c1)CN1CCN(CC1)c1ccccc1",C(COc1ccc2OCOc2c1)CN1CCN(CC1)c1ccccc1
cyclopenthiazide,NS(=O)(=O)c1cc2c(NC(CC3CCCC3)NS2(=O)=O)cc1Cl,NS(=O)(=O)c1cc2c(NC(CC3CCCC3)NS2(=O)=O)cc1Cl
2-methyl-5-hydroxytryptamine,"Cc1[nH]c2ccc(O)cc2c1CCN, Cc1[nH]c2ccc(O)cc2c1CCN",Cc1[nH]c2ccc(O)cc2c1CCN
zuclopenthixol,OCCN1CCN(CC\C=C2\c3ccccc3Sc3ccc(Cl)cc23)CC1,OCCN1CCN(CC\C=C2\c3ccccc3Sc3ccc(Cl)cc23)CC1
bortezomib,"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O, CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O, CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O, CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O, CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O",CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
tremorine,C(C#CCN1CCCC1)N1CCCC1,C(C#CCN1CCCC1)N1CCCC1
EMD-53998,COc1ccc(cc1OC)C(=O)N1CCCc2cc(ccc12)C1=NNC(=O)SC1C,COc1ccc(cc1OC)C(=O)N1CCCc2cc(ccc12)C1=NNC(=O)SC1C
practolol,"CC(C)NCC(O)COc1ccc(NC(C)=O)cc1, CC(C)NCC(O)COc1ccc(NC(C)=O)cc1",CC(C)NCC(O)COc1ccc(NC(C)=O)cc1
cytisine,"O=c1cccc2[C@H]3CNC[C@H](C3)Cn12, O=c1cccc2[C@H]3CNC[C@H](C3)Cn12, O=c1cccc2[C@H]3CNC[C@H](C3)Cn12, O=c1cccc2[C@H]3CNC[C@H](C3)Cn12",O=c1cccc2[C@H]3CNC[C@H](C3)Cn12
clebopride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
SCH-28080,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N
haloprogin,Clc1cc(Cl)c(OCC#CI)cc1Cl,Clc1cc(Cl)c(OCC#CI)cc1Cl
BMS-927711,N[C@H]1[C@@H](CC[C@@H](OC(=O)N2CCC(CC2)n2c3cccnc3[nH]c2=O)c2ncccc12)c1cccc(F)c1F,N[C@H]1[C@@H](CC[C@@H](OC(=O)N2CCC(CC2)n2c3cccnc3[nH]c2=O)c2ncccc12)c1cccc(F)c1F
androsterone,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O
lobenzarit,OC(=O)c1ccccc1Nc1cc(Cl)ccc1C(O)=O,OC(=O)c1ccccc1Nc1cc(Cl)ccc1C(O)=O
zotepine,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc12,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc12
primaquine,"COc1cc(NC(C)CCCN)c2ncccc2c1, COc1cc(NC(C)CCCN)c2ncccc2c1",COc1cc(NC(C)CCCN)c2ncccc2c1
chicago-sky-blue-6b,COc1cc(ccc1\N=N\c1ccc2c(cc(c(N)c2c1O)S(O)(=O)=O)S(O)(=O)=O)-c1ccc(\N=N\c2ccc3c(cc(c(N)c3c2O)S(O)(=O)=O)S(O)(=O)=O)c(OC)c1,COc1cc(ccc1\N=N\c1ccc2c(cc(c(N)c2c1O)S(O)(=O)=O)S(O)(=O)=O)-c1ccc(\N=N\c2ccc3c(cc(c(N)c3c2O)S(O)(=O)=O)S(O)(=O)=O)c(OC)c1
phenytoin,"O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1, O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1, O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1",O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1
TMC-353121,Cc1ccc(CCCO)c(NCc2ccc3nc(NCCCN4CCOCC4)n(Cc4nc(C)ccc4O)c3c2)c1,Cc1ccc(CCCO)c(NCc2ccc3nc(NCCCN4CCOCC4)n(Cc4nc(C)ccc4O)c3c2)c1
siguazodan,"CN\C(NC#N)=N/c1ccc(cc1)C1=NNC(=O)CC1C, CN\C(NC#N)=N/c1ccc(cc1)C1=NNC(=O)CC1C",CN\C(NC#N)=N/c1ccc(cc1)C1=NNC(=O)CC1C
R-1479,Nc1ccn([C@@H]2O[C@@](CO)(N=[N+]=[N-])[C@@H](O)[C@H]2O)c(=O)n1,Nc1ccn([C@@H]2O[C@@](CO)(N=[N+]=[N-])[C@@H](O)[C@H]2O)c(=O)n1
guanethidine,"NC(=N)NCCN1CCCCCCC1, NC(=N)NCCN1CCCCCCC1",NC(=N)NCCN1CCCCCCC1
Ro-9187,Nc1ccn([C@@H]2O[C@@](CO)(N=[N+]=[N-])[C@@H](O)[C@@H]2O)c(=O)n1,Nc1ccn([C@@H]2O[C@@](CO)(N=[N+]=[N-])[C@@H](O)[C@@H]2O)c(=O)n1
oxiconazole,Clc1ccc(CO\N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Clc1ccc(CO\N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
N-methylquipazine,CN1CCN(CC1)c1ccc2ccccc2n1,CN1CCN(CC1)c1ccc2ccccc2n1
alfadolone-acetate,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
alpha-methylhistamine-dihydrobromide-(R)-(-),C[C@@H](N)Cc1c[nH]cn1,C[C@@H](N)Cc1c[nH]cn1
alfaxalone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
alpha-methylhistamine-dihydrobromide-(S)-(+),C[C@H](N)Cc1c[nH]cn1,C[C@H](N)Cc1c[nH]cn1
fursultiamine,C\C(N(Cc1cnc(C)nc1N)C=O)=C(\CCO)SSCC1CCCO1,C\C(N(Cc1cnc(C)nc1N)C=O)=C(\CCO)SSCC1CCCO1
N-alpha-Methylhistamine-dihydrochloride,CNCCc1cnc[nH]1,CNCCc1cnc[nH]1
flucloxacillin,"Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(F)cccc1Cl, Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(F)cccc1Cl",Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(F)cccc1Cl
3-MPPI,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1
deptropine,CN1[C@H]2CC[C@@H]1CC(C2)OC1c2ccccc2CCc2ccccc12,CN1[C@H]2CC[C@@H]1CC(C2)OC1c2ccccc2CCc2ccccc12
metitepine,"CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1, CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1, CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1",CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1
etilefrine,CCNCC(O)c1cccc(O)c1,CCNCC(O)c1cccc(O)c1
5-methylfurmethiodide,"Cc1ccc(C[N+](C)(C)C)o1, Cc1ccc(C[N+](C)(C)C)o1",Cc1ccc(C[N+](C)(C)C)o1
nifekalant,Cn1c(NCCN(CCO)CCCc2ccc(cc2)[N+]([O-])=O)cc(=O)n(C)c1=O,Cn1c(NCCN(CCO)CCCc2ccc(cc2)[N+]([O-])=O)cc(=O)n(C)c1=O
PRE-084,"O=C(OCCN1CCOCC1)C1(CCCCC1)c1ccccc1, O=C(OCCN1CCOCC1)C1(CCCCC1)c1ccccc1",O=C(OCCN1CCOCC1)C1(CCCCC1)c1ccccc1
